Site,date,mean_daily
SWQM-16396,2020-07-02,9.548607850469017
SWQM-16396,2020-07-03,9.325019816540586
SWQM-16396,2020-07-04,9.336612971377795
SWQM-16396,2020-07-05,10.069766398193144
SWQM-16396,2020-07-06,10.512454964398243
SWQM-16396,2020-07-07,10.547197663175206
SWQM-16396,2020-07-08,11.14130961759322
SWQM-16396,2020-07-09,11.088057917116789
SWQM-16396,2020-07-10,11.367977721072682
SWQM-16396,2020-07-11,12.557520069049708
SWQM-16396,2020-07-12,12.555949624810916
SWQM-16396,2020-07-13,12.708504805519153
SWQM-16396,2020-07-14,8.566690076783175
SWQM-16396,2020-07-15,9.048792203115678
SWQM-16396,2020-07-16,9.127864590763966
SWQM-16396,2020-07-17,9.158660146602696
SWQM-16396,2020-07-18,8.58274874431513
SWQM-16396,2020-07-19,7.940729626068533
SWQM-16396,2020-07-20,7.995112879822484
SWQM-16396,2020-07-21,8.315691718006134
SWQM-16396,2020-07-22,8.671987753957747
SWQM-16396,2020-07-23,8.544628144539468
SWQM-16396,2020-07-24,8.236048450582988
SWQM-16396,2020-07-25,7.8358750133451425
SWQM-16396,2020-07-26,8.722742594074056
SWQM-16396,2020-07-27,24.080813737011393
SWQM-16396,2020-07-28,8.312465219766134
SWQM-16396,2020-07-29,7.423571115097116
SWQM-16396,2020-07-30,7.81242220499869
SWQM-16396,2020-07-31,NA
SWQM-16396,2020-08-01,NA
SWQM-16396,2020-08-02,NA
SWQM-16396,2020-08-03,NA
SWQM-16396,2020-08-04,NA
SWQM-16396,2020-08-05,NA
SWQM-16396,2020-08-06,6.486338063086012
SWQM-16396,2020-08-07,7.012415764460823
SWQM-16396,2020-08-08,7.393266428023595
SWQM-16396,2020-08-09,6.964225303592796
SWQM-16396,2020-08-10,6.9205963979589695
SWQM-16396,2020-08-11,7.0645957277411044
SWQM-16396,2020-08-12,6.995318049274685
SWQM-16396,2020-08-13,6.985323845014178
SWQM-16396,2020-08-14,7.130308234247848
SWQM-16396,2020-08-15,6.71724669672005
SWQM-16396,2020-08-16,6.57004183255175
SWQM-16396,2020-08-17,6.6864546950873045
SWQM-16396,2020-08-18,7.016635861815699
SWQM-16396,2020-08-19,6.616310901136519
SWQM-16396,2020-08-20,6.5224252737097315
SWQM-16396,2020-08-21,6.357185149921467
SWQM-16396,2020-08-22,6.634528785259045
SWQM-16396,2020-08-23,6.33498140361852
SWQM-16396,2020-08-24,6.237943082023016
SWQM-16396,2020-08-25,6.336739702939157
SWQM-16396,2020-08-26,6.817678300034259
SWQM-16396,2020-08-27,6.8992246429529445
SWQM-16396,2020-08-28,6.9265940181993875
SWQM-16396,2020-08-29,6.709704642333541
SWQM-16396,2020-08-30,7.061570561599079
SWQM-16396,2020-08-31,7.238745982917471
SWQM-16396,2020-09-01,7.14360212670257
SWQM-16396,2020-09-02,6.735782935298807
SWQM-16396,2020-09-03,12.272094775882305
SWQM-16396,2020-09-04,28.609222826395065
SWQM-16396,2020-09-05,34.572629292445754
SWQM-16396,2020-09-06,21.522402158836087
SWQM-16396,2020-09-07,9.914740631482315
SWQM-16396,2020-09-08,8.641497035531456
SWQM-16396,2020-09-09,11.425278695409562
SWQM-16396,2020-09-10,65.03943831542993
SWQM-16396,2020-09-11,13.920490429230524
SWQM-16396,2020-09-12,8.993967235019067
SWQM-16396,2020-09-13,8.155934350088891
SWQM-16396,2020-09-14,7.687643164158885
SWQM-16396,2020-09-15,7.767601909682781
SWQM-16396,2020-09-16,7.471070788832141
SWQM-16396,2020-09-17,7.029186326050188
SWQM-16396,2020-09-18,23.539215401417472
SWQM-16396,2020-09-19,8.171841059458451
SWQM-16396,2020-09-20,7.106544979273097
SWQM-16396,2020-09-21,7.335406411178159
SWQM-16396,2020-09-22,19.579232318149266
SWQM-16396,2020-09-23,43.20207058545009
SWQM-16396,2020-09-24,12.086402210841264
SWQM-16396,2020-09-25,8.562443922730393
SWQM-16396,2020-09-26,7.481773915016829
SWQM-16396,2020-09-27,7.193596292572084
SWQM-16396,2020-09-28,6.899479605056147
SWQM-16396,2020-09-29,7.043490221226807
SWQM-16396,2020-09-30,6.9076319604496375
SWQM-16396,2020-10-01,6.619360645331782
SWQM-16396,2020-10-02,6.647085420792332
SWQM-16396,2020-10-03,6.622193779524508
SWQM-16396,2020-10-04,6.738376606505743
SWQM-16396,2020-10-05,6.829203965066867
SWQM-16396,2020-10-06,6.6121241489656315
SWQM-16396,2020-10-07,6.5225245277989
SWQM-16396,2020-10-08,6.261554407673379
SWQM-16396,2020-10-09,7.06020298867402
SWQM-16396,2020-10-10,6.762085730897185
SWQM-16396,2020-10-11,6.2948568941121135
SWQM-16396,2020-10-12,6.297364613934172
SWQM-16396,2020-10-13,6.9287161900877905
SWQM-16396,2020-10-14,6.48154491167311
SWQM-16396,2020-10-15,6.601880932318912
SWQM-16396,2020-10-16,6.723603121982594
SWQM-16396,2020-10-17,6.301200233274329
SWQM-16396,2020-10-18,6.529698935345817
SWQM-16396,2020-10-19,6.888413404868127
SWQM-16396,2020-10-20,6.583752872823526
SWQM-16396,2020-10-21,6.411223028789577
SWQM-16396,2020-10-22,6.2391080819498335
SWQM-16396,2020-10-23,11.725982326979626
SWQM-16396,2020-10-24,15.328477952282501
SWQM-16396,2020-10-25,7.730746860130872
SWQM-16396,2020-10-26,7.412531295083174
SWQM-16396,2020-10-27,7.412755194624138
SWQM-16396,2020-10-28,7.943210853251337
SWQM-16396,2020-10-29,9.69001193757754
SWQM-16396,2020-10-30,8.00029655501209
SWQM-16396,2020-10-31,7.412381530942379
SWQM-16396,2020-11-01,6.878159185438158
SWQM-16396,2020-11-02,7.337435382192725
SWQM-16396,2020-11-03,6.961347298756436
SWQM-16396,2020-11-04,6.59358131533956
SWQM-16396,2020-11-05,6.552439184086997
SWQM-16396,2020-11-06,6.642111809933014
SWQM-16396,2020-11-07,6.670688409434245
SWQM-16396,2020-11-08,6.482342679498588
SWQM-16396,2020-11-09,6.38703232434575
SWQM-16396,2020-11-10,7.127017453742245
SWQM-16396,2020-11-11,7.093832797968284
SWQM-16396,2020-11-12,7.089360457900694
SWQM-16396,2020-11-13,7.060414757396524
SWQM-16396,2020-11-14,6.708711726424129
SWQM-16396,2020-11-15,7.300131638724941
SWQM-16396,2020-11-16,7.410053951104668
SWQM-16396,2020-11-17,7.55361564875294
SWQM-16396,2020-11-18,6.988520835089547
SWQM-16396,2020-11-19,6.929188230243958
SWQM-16396,2020-11-20,6.4451742810009875
SWQM-16396,2020-11-21,6.33190948962015
SWQM-16396,2020-11-22,6.289321042348875
SWQM-16396,2020-11-23,8.483280982644175
SWQM-16396,2020-11-24,7.719389028894677
SWQM-16396,2020-11-25,8.6443939209718
SWQM-16396,2020-11-26,7.778856569722042
SWQM-16396,2020-11-27,7.5608840711331
SWQM-16396,2020-11-28,8.10217568567604
SWQM-16396,2020-11-29,9.50144606464421
SWQM-16396,2020-11-30,8.859032838643719
SWQM-16396,2020-12-01,7.251752742860871
SWQM-16396,2020-12-02,7.305537873182192
SWQM-16396,2020-12-03,7.66593145435127
SWQM-16396,2020-12-04,6.8111734173298455
SWQM-16396,2020-12-05,6.165950907299923
SWQM-16396,2020-12-06,6.4189153111125385
SWQM-16396,2020-12-07,6.524664031181078
SWQM-16396,2020-12-08,6.52149522719884
SWQM-16396,2020-12-09,6.631068699097874
SWQM-16396,2020-12-10,6.633204091593847
SWQM-16396,2020-12-11,7.935090273280516
SWQM-16396,2020-12-12,10.474899761899252
SWQM-16396,2020-12-13,6.228640292157401
SWQM-16396,2020-12-14,9.75134531443374
SWQM-16396,2020-12-15,8.925356526780886
SWQM-16396,2020-12-16,8.920958839118228
SWQM-16396,2020-12-17,8.573795439093614
SWQM-16396,2020-12-18,8.320079289824418
SWQM-16396,2020-12-19,121.18471218254227
SWQM-16396,2020-12-20,35.15003274941799
SWQM-16396,2020-12-21,12.426338139560238
SWQM-16396,2020-12-22,9.569099554408762
SWQM-16396,2020-12-23,8.739396111605016
SWQM-16396,2020-12-24,8.899734048166488
SWQM-16396,2020-12-25,8.647828326485493
SWQM-16396,2020-12-26,7.860993393526273
SWQM-16396,2020-12-27,7.294419752988524
SWQM-16396,2020-12-28,7.698267626911601
SWQM-16396,2020-12-29,8.21122002771587
SWQM-16396,2020-12-30,8.514990147225806
SWQM-16396,2020-12-31,317.49303462303976
SWQM-16396,2021-01-01,89.72198945572497
SWQM-16396,2021-01-02,16.660268606551927
SWQM-16396,2021-01-03,11.042503628534485
SWQM-16396,2021-01-04,9.5314836740975
SWQM-16396,2021-01-05,9.789746167033549
SWQM-16396,2021-01-06,144.21741261303683
SWQM-16396,2021-01-07,137.46056482380416
SWQM-16396,2021-01-08,20.245923876120653
SWQM-16396,2021-01-09,11.88106993834342
SWQM-16396,2021-01-10,77.72559895350496
SWQM-16396,2021-01-11,188.14117118055051
SWQM-16396,2021-01-12,99.1571250396349
SWQM-16396,2021-01-13,41.38451733922795
SWQM-16396,2021-01-14,23.342405089282476
SWQM-16396,2021-01-15,15.005248772864226
SWQM-16396,2021-01-16,12.395055843179062
SWQM-16396,2021-01-17,11.499122157026349
SWQM-16396,2021-01-18,10.950807088514008
SWQM-16396,2021-01-19,11.183073926468845
SWQM-16396,2021-01-20,11.305324555026411
SWQM-16396,2021-01-21,10.629815027799381
SWQM-16396,2021-01-22,11.201124758611547
SWQM-16396,2021-01-23,11.14236136081265
SWQM-16396,2021-01-24,11.282419861285224
SWQM-16396,2021-01-25,11.88753469890869
SWQM-16396,2021-01-26,12.155869987714581
SWQM-16396,2021-01-27,11.39620721507287
SWQM-16396,2021-01-28,11.32389860531549
SWQM-16396,2021-01-29,10.621403233921745
SWQM-16396,2021-01-30,10.93996533484297
SWQM-16396,2021-01-31,11.27549496709999
SWQM-16396,2021-02-01,11.253710927540313
SWQM-16396,2021-02-02,10.939806137352427
SWQM-16396,2021-02-03,10.539787857195837
SWQM-16396,2021-02-04,9.851245271984547
SWQM-16396,2021-02-05,9.768563334357081
SWQM-16396,2021-02-06,8.760858346728863
SWQM-16396,2021-02-07,9.023564108450351
SWQM-16396,2021-02-08,8.438633602933313
SWQM-16396,2021-02-09,9.110524771821268
SWQM-16396,2021-02-10,8.875803842902503
SWQM-16396,2021-02-11,8.73722914664375
SWQM-16396,2021-02-12,9.07460635922176
SWQM-16396,2021-02-13,8.903484368399019
SWQM-16396,2021-02-14,8.291782939545033
SWQM-16396,2021-02-15,7.682998899171962
SWQM-16396,2021-02-16,8.212232135708751
SWQM-16396,2021-02-17,100.70043313695604
SWQM-16396,2021-02-18,84.79016580444303
SWQM-16396,2021-02-19,37.73281844390796
SWQM-16396,2021-02-20,35.247429057991084
SWQM-16396,2021-02-21,21.033718984509523
SWQM-16396,2021-02-22,15.231106068559823
SWQM-16396,2021-02-23,12.126200282750064
SWQM-16396,2021-02-24,10.546193416740515
SWQM-16396,2021-02-25,10.968249791462796
SWQM-16396,2021-02-26,10.507949060959731
SWQM-16396,2021-02-27,10.94776662597245
SWQM-16396,2021-02-28,10.430605932120002
SWQM-16396,2021-03-01,13.723798966562095
SWQM-16396,2021-03-02,21.01464361889271
SWQM-16396,2021-03-03,13.841834209658392
SWQM-16396,2021-03-04,11.110083696940842
SWQM-16396,2021-03-05,10.519050520364814
SWQM-16396,2021-03-06,9.61426896251194
SWQM-16396,2021-03-07,9.245340605784323
SWQM-16396,2021-03-08,9.011779500609318
SWQM-16396,2021-03-09,8.365233884500467
SWQM-16396,2021-03-10,8.248354729629826
SWQM-16396,2021-03-11,7.648019535486993
SWQM-16396,2021-03-12,10.354610767197203
SWQM-16396,2021-03-13,8.304415613618094
SWQM-16396,2021-03-14,8.88408601508577
SWQM-16396,2021-03-15,8.606057851015894
SWQM-16396,2021-03-16,8.274104395714106
SWQM-16396,2021-03-17,9.31992142399697
SWQM-16396,2021-03-18,11.604136472285118
SWQM-16396,2021-03-19,10.661779578988948
SWQM-16396,2021-03-20,9.739942260022863
SWQM-16396,2021-03-21,8.868867261307036
SWQM-16396,2021-03-22,8.244656298133016
SWQM-16396,2021-03-23,81.59732683550126
SWQM-16396,2021-03-24,20.01761025752102
SWQM-16396,2021-03-25,12.52561263388106
SWQM-16396,2021-03-26,10.352171845221923
SWQM-16396,2021-03-27,9.071733958294725
SWQM-16396,2021-03-28,8.96622852984944
SWQM-16396,2021-03-29,9.326258168450419
SWQM-16396,2021-03-30,8.656379485027523
SWQM-16397,2020-03-03,1.5935102253204332
